22654,2014-02-16,66499,622.9659
13443,2012-08-10,47523,2410.6266
13443,2013-11-12,60020,2602.2529
22105,2014-06-03,74265,49.9681
21261,2013-09-19,56452,77.3169
23953,2013-10-03,57402,4.4090
13623,2013-11-27,60968,4.4090
13623,2014-03-03,67485,44.4431
13623,2014-05-20,73345,60.7640
18728,2014-01-21,64685,11.3152
18728,2014-03-18,68474,51.3494
24367,2013-04-27,50625,2699.9018
24367,2014-04-15,70726,1918.2579
28241,2013-08-06,53933,144.1583
28946,2014-06-02,74223,26.4869
19140,2013-10-10,57781,624.3029
16679,2013-07-14,52586,79.0959
16679,2013-08-31,55388,38.6529
29020,2013-11-27,60975,15.4479
26372,2013-10-13,57955,606.6229
11395,2012-04-15,46229,3756.9890
11395,2013-07-23,53006,2574.6279
16868,2014-03-18,68509,2566.1194
23533,2013-01-12,49299,2410.6266
23533,2013-12-20,62517,1918.2579
14179,2014-06-16,74676,79.0959
20472,2013-11-27,61005,2742.8642
15211,2013-03-07,49972,2288.9187
15211,2014-04-21,71131,927.6254
19923,2013-09-30,57218,27.6140
26673,2013-01-17,49351,865.2040
26673,2013-07-18,52831,798.6609
21355,2014-03-03,67567,1308.8283
26147,2014-05-24,73647,87.2729
21037,2013-05-14,50922,865.2040
21037,2014-01-24,64862,932.5869
21037,2014-05-06,72323,896.5086
20415,2014-01-13,64117,15.4479
23213,2014-03-24,68941,682.3044
12434,2014-04-22,71180,82.8529
28957,2013-09-29,57003,2673.0613
15043,2013-03-14,50040,2288.9187
15043,2014-02-03,65667,1961.8944
18541,2013-09-02,55523,77.3390
18541,2014-03-06,67730,26.8184
19425,2013-11-08,59740,34.5534
13945,2013-08-15,54451,62.9519
29774,2011-07-01,43913,41347.1129
29774,2011-10-01,44566,43136.7848
29774,2012-01-01,45341,39114.2895
29774,2012-03-30,46103,74016.3123
23484,2014-04-12,70511,596.6890
23257,2013-12-13,62080,596.6890
14084,2013-10-04,57458,38.6750
14084,2013-10-13,57912,38.9292
14084,2014-01-14,64191,59.0844
14084,2014-01-27,65042,16.5529
17982,2011-10-19,44681,772.5036
17982,2013-09-04,55624,927.6033
20685,2014-01-27,65077,1276.8054
28427,2014-04-13,70591,596.6890
11443,2011-11-07,44866,3729.3640
11443,2013-09-20,56532,2697.2498
11443,2014-03-03,67574,2673.0613
13132,2012-11-08,48499,2264.2536
13132,2013-12-08,61774,2618.8169
13132,2014-04-11,70451,2720.0128
17769,2013-03-29,50179,2410.6266
17769,2013-11-03,59347,1909.7384
25744,2013-12-27,62945,2683.2605
24817,2012-06-18,46839,2410.6266
14320,2013-12-18,62349,55.2390
14320,2014-02-18,66569,234.2158
29580,2011-05-31,43665,16158.6961
29580,2011-08-31,44284,98932.1970
29580,2011-12-01,45043,36680.7029
29580,2012-02-29,45782,45843.6116
29580,2012-05-30,46611,87984.5334
29580,2012-08-30,47666,84508.0939
29580,2012-11-30,48757,71911.0781
29580,2013-02-28,49826,83298.3584
29580,2013-05-30,51089,83546.8676
29580,2013-08-30,55241,68175.7662
29580,2013-11-30,61182,59329.3078
29580,2014-03-01,67266,79545.0404
24436,2013-07-28,53338,2694.0563
13670,2013-07-25,53139,27.0615
13670,2013-10-10,57749,33.1279
13670,2014-05-04,72134,136.9979
26818,2014-03-09,67958,2659.7792
19333,2014-04-29,71651,38.9292
11797,2012-03-15,45911,3953.9884
11797,2013-11-29,61155,2645.8783
26860,2013-11-04,59480,596.6890
28370,2014-03-09,67956,706.0398
20162,2012-07-14,47193,865.2040
20162,2013-09-10,56014,1307.7344
15652,2012-04-18,46256,3953.9884
15652,2013-08-31,55399,888.9394
15652,2014-03-26,69063,858.9607
24387,2014-05-27,73926,596.6890
25091,2013-09-07,55836,40.4320
24042,2014-06-07,74404,14.3429
25370,2013-09-20,56534,1396.5211
19442,2013-03-03,49928,865.2040
19442,2014-04-28,71569,905.5254
21481,2014-02-07,65899,11.0390
20564,2012-01-31,45596,772.5036
20564,2014-05-07,72368,2607.7779
19108,2014-05-10,72635,1879.5940
17383,2014-02-17,66529,8.0444
26135,2012-08-19,47593,865.2040
26135,2014-03-01,67392,1308.8283
20751,2014-05-15,73020,635.3529
13805,2013-10-29,58871,32.0229
17930,2014-02-18,66605,77.3169
23732,2013-09-05,55698,82.2673
18134,2012-07-14,47187,1105.4834
18134,2014-01-28,65149,2644.3313
18134,2014-02-14,66320,2584.5619
19847,2014-04-18,70900,24.2879
24244,2013-03-17,50077,2699.9018
24244,2013-10-24,58541,1297.8004
27720,2013-08-02,53726,44.1779
26171,2013-11-05,59514,30.1444
26847,2014-03-22,68770,66.8194
19890,2013-12-17,62309,132.5779
24124,2014-05-31,74180,66.2779
13254,2013-05-13,50908,2264.2536
13254,2013-10-08,57688,2644.3313
13254,2013-10-16,58072,2606.6619
26861,2013-07-07,52255,40.0784
28900,2013-10-29,58877,32.5754
12082,2012-04-18,46253,3953.9884
12082,2013-08-25,55020,2580.1419
28261,2014-03-30,69340,30.8516
27376,2014-04-15,70686,6.9394
16552,2012-12-01,48808,2699.9018
16552,2014-04-18,70878,2810.5012
16860,2013-08-12,54281,5.5140
29578,2013-08-30,55279,364.8172
11595,2014-06-01,74218,38.6640
18794,2014-04-04,69938,1918.2579
21912,2013-10-12,57898,635.3529
27479,2013-08-28,55150,26.2769
23960,2014-01-15,64293,663.5083
11278,2012-02-16,45700,3953.9884
11278,2013-06-05,51277,2574.6279
27244,2014-05-28,73962,40.0784
26533,2013-01-29,49564,1105.4834
26533,2014-01-15,64287,695.0119
20106,2013-09-30,57203,27.6140
20106,2013-11-09,59785,118.1908
14068,2013-10-02,57309,30.1444
14068,2014-01-19,64533,55.2390
21238,2013-09-03,55568,35.6584
21238,2014-06-20,74805,8.0444
22152,2014-05-09,72572,1332.0444
26106,2012-05-20,46533,3729.3640
26106,2014-01-03,63540,2644.3313
13149,2013-09-07,55821,38.6640
13149,2014-04-30,71696,33.1279
12944,2013-08-26,55073,44.1890
12944,2013-10-16,58094,15.4479
12944,2013-10-25,58603,35.6694
12944,2014-02-04,65694,86.1458
27406,2013-03-12,50024,865.2040
27406,2014-03-09,67948,635.3529
19666,2014-03-11,68032,38.6750
11573,2013-12-27,62921,38.6640
